lat,lon
33.6469,-84.4338
33.6473,-84.4501
33.6484,-84.4637
33.6525,-84.478
33.6585,-84.4937
33.6716,-84.5264
33.6824,-84.5541
33.6949,-84.5718
33.7119,-84.5802
33.7427,-84.5807
33.7636,-84.581
33.7913,-84.5812
33.8195,-84.5811
33.8676,-84.5817
33.9103,-84.5833
33.9378,-84.5843
33.9894,-84.5857
34.0209,-84.5866
34.0594,-84.5877
34.0948,-84.5887
34.149,-84.5902
34.2241,-84.5924
34.2597,-84.5935
34.292,-84.595
34.3498,-84.6
34.4112,-84.6052
34.4661,-84.6098
34.5277,-84.615
34.5873,-84.6201
34.6476,-84.6252
34.7073,-84.6305
34.7715,-84.6362
34.832,-84.6412
34.898,-84.6467
34.9609,-84.6522
35.0234,-84.6576
35.0724,-84.6619
35.1316,-84.6672
35.1927,-84.6726
35.2572,-84.6783
35.3205,-84.6837
35.3857,-84.6892
35.4481,-84.6945
35.5095,-84.6998
35.5736,-84.7054
35.6333,-84.7107
35.6953,-84.716
35.7586,-84.7216
35.8206,-84.727
35.8843,-84.7326
35.9453,-84.738
36.0053,-84.7434
36.0651,-84.7486
36.1263,-84.754
36.1985,-84.7678
36.2597,-84.78
36.3177,-84.7918
36.3753,-84.8034
36.4348,-84.8154
36.496,-84.8277
36.552,-84.839
36.6175,-84.8522
36.6782,-84.8644
36.7384,-84.8766
36.7961,-84.8883
36.8561,-84.9005
36.9163,-84.9128
36.9731,-84.9244
37.0322,-84.9365
37.0902,-84.9484
37.1508,-84.9608
37.2105,-84.973
37.2717,-84.9856
37.3294,-84.9975
37.388,-85.0096
37.4464,-85.0217
37.5067,-85.0342
37.5661,-85.0465
37.6252,-85.0586
37.6843,-85.0709
37.7412,-85.083
37.789,-85.1006
37.8584,-85.1385
37.9059,-85.1649
37.9578,-85.1938
38.009,-85.2226
38.0622,-85.2521
38.1148,-85.2814
38.1683,-85.3112
38.2208,-85.3406
38.2745,-85.3705
38.3249,-85.3986
38.3797,-85.4296
38.4301,-85.4583
38.4833,-85.4885
38.5337,-85.5169
38.5851,-85.546
38.6377,-85.5758
38.6892,-85.605
38.7436,-85.6359
38.796,-85.6658
38.8499,-85.6966
38.8953,-85.7226
38.947,-85.7522
39.0024,-85.784
39.0544,-85.8067
39.1128,-85.8257
39.1705,-85.8444
39.2302,-85.8637
39.2894,-85.8828
39.3473,-85.901
39.406,-85.9195
39.463,-85.9376
39.5242,-85.9568
39.5843,-85.9753
39.6414,-85.993
39.7022,-86.0118
39.7442,-86.0254
39.7771,-86.0422
39.8368,-86.0825
39.8901,-86.1199
39.9428,-86.1567
39.9941,-86.193
40.0502,-86.2328
40.1002,-86.2683
40.1506,-86.3044
40.2027,-86.3418
40.255,-86.3794
40.3087,-86.418
40.3632,-86.4572
40.4168,-86.496
40.4686,-86.5335
40.5196,-86.5705
40.5694,-86.6066
40.623,-86.6459
40.6748,-86.6837
40.7283,-86.7222
40.7771,-86.7578
40.828,-86.7951
40.8738,-86.8288
40.9222,-86.8645
41.0122,-86.9311
41.0569,-86.9639
41.0999,-86.9956
41.1428,-87.0275
41.1832,-87.0577
41.2246,-87.0884
41.2654,-87.1187
41.3045,-87.1479
41.3459,-87.1788
41.3741,-87.204
41.4034,-87.2371
41.4269,-87.2645
41.4605,-87.3044
41.4867,-87.3351
41.5136,-87.3655
41.5375,-87.38
41.5721,-87.3977
41.6052,-87.4143
41.6408,-87.4321
41.674,-87.4487
41.7093,-87.4664
41.7434,-87.4838
41.7747,-87.5001
41.8093,-87.5186
41.8399,-87.5354
41.8697,-87.5515
41.9001,-87.5679
41.9272,-87.5825
41.9464,-87.5922
41.9566,-87.6076
41.9623,-87.6241
41.9646,-87.64
41.9659,-87.6585
41.9659,-87.6796
41.9659,-87.7106
41.9659,-87.7419
41.9659,-87.7723
41.9659,-87.8017
41.9659,-87.8123
41.9659,-87.8166
41.9659,-87.8308
41.9658,-87.8462
41.9658,-87.8603
41.9658,-87.8747
41.9658,-87.8893
41.9657,-87.9052
	
	
	
