lat,lon
33.6347,-84.426
33.6347,-84.4402
33.635,-84.4568
33.6352,-84.4633
33.6355,-84.4712
33.6357,-84.4898
33.6358,-84.5073
33.6353,-84.5367
33.6353,-84.58
33.6358,-84.6217
33.633,-84.6449
33.6221,-84.6661
33.606,-84.6782
33.5839,-84.6891
33.5564,-84.6895
33.5207,-84.6837
33.4808,-84.6776
33.4353,-84.6704
33.4148,-84.6593
33.3933,-84.6342
33.3608,-84.5947
33.3236,-84.5527
33.2835,-84.5066
33.2422,-84.4583
33.2012,-84.4101
33.1609,-84.3628
33.1326,-84.33
33.0981,-84.3049
33.0366,-84.279
32.9812,-84.2536
32.9254,-84.228
32.8697,-84.2024
32.8107,-84.1756
32.7549,-84.15
32.6974,-84.124
32.6379,-84.097
32.578,-84.0697
32.5192,-84.0433
32.4606,-84.0169
32.4001,-83.9896
32.3377,-83.9615
32.2775,-83.9344
32.2187,-83.908
32.1473,-83.8759
32.0856,-83.8483
32.0199,-83.8189
31.9548,-83.7898
31.8871,-83.7596
31.8193,-83.7294
31.7518,-83.6994
31.6836,-83.6692
31.622,-83.644
31.5517,-83.6184
31.4807,-83.5918
31.412,-83.5655
31.3408,-83.5382
31.2723,-83.5121
31.2026,-83.4856
31.1319,-83.4585
31.0303,-83.4072
30.9611,-83.3722
30.8919,-83.3374
30.8248,-83.3035
30.759,-83.2703
30.69,-83.2357
30.6357,-83.2079
30.5772,-83.17
30.514,-83.1232
30.4492,-83.0752
30.381,-83.0245
30.32,-82.9794
30.2557,-82.9316
30.2238,-82.9114
30.1233,-82.8716
30.0552,-82.8442
29.987,-82.8166
29.9186,-82.7894
29.8547,-82.7641
29.7851,-82.7364
29.7184,-82.7098
29.649,-82.6822
29.5829,-82.656
29.5165,-82.6298
29.4491,-82.6032
29.3824,-82.5769
29.3138,-82.5498
29.252,-82.5288
29.2058,-82.5178
29.1023,-82.4997
29.0359,-82.4873
28.9676,-82.4748
28.8979,-82.4622
28.8229,-82.4487
28.7563,-82.4367
28.6865,-82.4241
28.6207,-82.4122
28.5521,-82.3999
28.4796,-82.3869
28.4134,-82.3751
28.345,-82.3628
28.2755,-82.3504
28.2062,-82.338
28.1413,-82.3265
28.071,-82.3139
27.9997,-82.2962
27.9307,-82.2728
27.8628,-82.2504
27.7961,-82.2285
27.7269,-82.2055
27.66,-82.1834
27.5917,-82.1608
27.5258,-82.139
27.4584,-82.1168
27.3849,-82.0926
27.3201,-82.0713
27.2497,-82.0482
27.1828,-82.0263
27.1147,-82.0039
27.0507,-81.9829
26.9841,-81.9612
26.9156,-81.9388
26.8477,-81.9167
26.7816,-81.8952
26.7143,-81.8733
26.6477,-81.8516
26.5809,-81.8299
26.5175,-81.8094
26.451,-81.7879
26.3855,-81.7667
26.3189,-81.7452
26.2519,-81.7236
26.1878,-81.703
26.1208,-81.6814
26.0557,-81.6605
25.988,-81.6388
25.9215,-81.6174
25.8565,-81.5966
25.7893,-81.5752
25.7246,-81.5545
25.6538,-81.5319
25.5869,-81.5106
25.5219,-81.4899
