lat,lon
41.9691,-87.8961
41.9693,-87.8802
41.9678,-87.8662
41.9579,-87.8558
41.9455,-87.8499
41.9333,-87.8433
41.9188,-87.835
41.894,-87.831
41.8611,-87.8276
41.8339,-87.8247
41.8189,-87.8195
41.8025,-87.8092
41.7714,-87.7898
41.7395,-87.7697
41.723,-87.7609
41.7001,-87.7535
41.6638,-87.7407
41.6228,-87.7263
41.5793,-87.7111
41.535,-87.6959
41.4903,-87.6809
41.4428,-87.6654
41.3933,-87.6487
41.3429,-87.6315
41.2928,-87.6143
41.2419,-87.597
41.1899,-87.5796
41.1386,-87.5624
41.0839,-87.5441
41.0273,-87.5251
40.9761,-87.5079
40.9204,-87.4892
40.8618,-87.4695
40.8089,-87.452
40.7508,-87.4327
40.6923,-87.4133
40.6351,-87.3944
40.576,-87.3749
40.5157,-87.3549
40.4558,-87.3348
40.3812,-87.3008
40.3231,-87.2736
40.266,-87.2469
40.204,-87.2178
40.1479,-87.1917
40.1145,-87.1737
40.0837,-87.1482
40.0577,-87.118
40.0026,-87.0385
39.9597,-86.9766
39.9186,-86.9173
39.8778,-86.8586
39.8324,-86.7935
39.7912,-86.7346
39.7508,-86.6768
39.7084,-86.6163
39.6667,-86.5568
39.6244,-86.4966
39.5813,-86.4355
39.5386,-86.3751
39.4947,-86.3134
39.4508,-86.2515
39.4083,-86.1915
39.3659,-86.1319
39.3213,-86.0693
39.2776,-86.0081
39.2361,-85.9502
39.1898,-85.8858
39.1488,-85.8286
39.1041,-85.7668
39.0609,-85.7071
39.0192,-85.6495
38.9755,-85.5892
38.9325,-85.53
38.8866,-85.4667
38.8432,-85.407
38.801,-85.3493
38.755,-85.2864
38.7112,-85.2268
38.6665,-85.166
38.6217,-85.1052
38.5769,-85.0444
38.5339,-84.9862
38.4927,-84.9306
38.4458,-84.8674
38.401,-84.8071
38.356,-84.7468
38.3123,-84.6882
38.2669,-84.6274
38.2205,-84.5655
38.1786,-84.5098
38.1329,-84.449
38.0872,-84.3883
38.0433,-84.33
37.999,-84.2716
37.9527,-84.2104
37.9095,-84.1536
37.8621,-84.0911
37.8185,-84.034
37.7719,-83.9729
37.7274,-83.9148
37.6794,-83.8523
37.6341,-83.7933
37.5902,-83.7362
37.5422,-83.674
37.4969,-83.6153
37.4525,-83.558
37.4036,-83.4949
37.3593,-83.4379
37.3125,-83.3779
37.2667,-83.3191
37.2202,-83.2595
37.1741,-83.2007
37.1266,-83.1401
37.081,-83.0819
37.0364,-83.0251
36.9891,-82.9653
36.958,-82.9267
36.9283,-82.9032
36.895,-82.8907
36.8571,-82.89
36.7782,-82.9021
36.7147,-82.9118
36.6518,-82.9218
36.5891,-82.9316
36.5285,-82.9411
36.4648,-82.9512
36.4033,-82.9608
36.3402,-82.9706
36.2788,-82.9802
36.2153,-82.9904
36.1537,-83.0004
36.0919,-83.0105
36.03,-83.0205
35.9697,-83.0301
35.906,-83.0403
35.8457,-83.0499
35.7929,-83.0604
35.7586,-83.0729
35.6825,-83.1149
35.6262,-83.1475
35.5699,-83.1802
35.5134,-83.2131
35.4565,-83.246
35.3966,-83.2804
35.3388,-83.3128
35.2804,-83.3457
35.2478,-83.3641
35.1888,-83.3975
35.1059,-83.4441
35.0614,-83.469
35.0012,-83.5033
34.9621,-83.526
34.9065,-83.5584
34.8481,-83.5923
34.813,-83.6179
34.761,-83.6618
34.73,-83.6878
34.6846,-83.7258
34.6518,-83.7535
34.6085,-83.7893
34.5645,-83.8254
34.5227,-83.8598
34.4806,-83.8948
34.4391,-83.9295
34.4109,-83.95
34.3742,-83.9564
34.3238,-83.9601
34.2723,-83.9652
34.22,-83.9709
34.1956,-83.9755
34.1687,-83.9899
34.1323,-84.0124
34.115,-84.0233
34.0858,-84.0417
34.0583,-84.0593
34.0298,-84.0772
34.0141,-84.0869
33.9972,-84.0924
33.97,-84.0895
33.9393,-84.0832
33.9075,-84.0765
33.8874,-84.0727
33.8686,-84.0721
33.8388,-84.0719
33.8088,-84.0721
33.7797,-84.0724
33.7613,-84.0731
33.7401,-84.0777
33.7113,-84.0844
33.6974,-84.0959
33.6887,-84.1201
33.6797,-84.1458
33.6741,-84.1628
33.6656,-84.1891
33.6568,-84.2158
33.6511,-84.2329
33.6495,-84.2503
33.6495,-84.2697
33.6495,-84.3025
33.6495,-84.3328
33.6495,-84.3432
33.6495,-84.3478
33.6495,-84.3613
33.6496,-84.3755
33.6496,-84.3907
33.6496,-84.4045
33.6495,-84.4204
