lat,lon
-12.0372,-77.1189
-12.0473,-77.1148
-12.0622,-77.1172
-12.0756,-77.1243
-12.0884,-77.1302
-12.1028,-77.1371
-12.1333,-77.1516
-12.1486,-77.1646
-12.1542,-77.1876
-12.1501,-77.2088
-12.1351,-77.2255
-12.1108,-77.2397
-12.0776,-77.2612
-12.0211,-77.3006
-11.9823,-77.3284
-11.9398,-77.3582
-11.8968,-77.3883
-11.8467,-77.423
-11.8016,-77.4542
-11.7565,-77.4856
-11.7125,-77.5161
-11.6662,-77.5482
-11.6205,-77.5799
-11.5737,-77.6123
-11.5196,-77.6498
-11.4711,-77.6834
-11.4153,-77.7221
-11.3647,-77.7571
-11.3144,-77.7918
-11.2649,-77.8261
-11.2125,-77.8622
-11.161,-77.8978
-11.1009,-77.9393
-11.069,-77.9602
-11.0348,-77.9801
-10.9791,-78.0102
-10.9185,-78.0419
-10.8545,-78.0752
-10.7993,-78.104
-10.7385,-78.1359
-10.6832,-78.1649
-10.5989,-78.2092
-10.5418,-78.239
-10.4857,-78.268
-10.4175,-78.2941
-10.3585,-78.3081
-10.2724,-78.3256
-10.2038,-78.3398
-10.0875,-78.3647
-10.0257,-78.378
-9.9553,-78.3931
-9.8511,-78.4155
-9.769,-78.4331
-9.7065,-78.4465
-9.6448,-78.4597
-9.5628,-78.4774
-9.4787,-78.4958
-9.4146,-78.5097
-9.2949,-78.5357
-9.2117,-78.5537
-9.1273,-78.572
-8.9772,-78.6045
-8.7954,-78.6439
-8.715,-78.6612
-8.6497,-78.6753
-8.5847,-78.6893
-8.4806,-78.7118
-8.3991,-78.7294
-8.3317,-78.7439
-8.27,-78.7572
-8.2073,-78.7707
-8.143,-78.7846
-8.0731,-78.7996
-7.96,-78.824
-7.8956,-78.8379
-7.833,-78.8513
-7.7501,-78.8692
-7.6402,-78.8928
-7.5757,-78.9066
-7.5127,-78.9202
-7.4497,-78.9337
-7.3856,-78.9475
-7.311,-78.9635
-7.2432,-78.9781
-7.1485,-78.9984
-7.0583,-79.0177
-6.9952,-79.0312
-6.9252,-79.0462
-6.3435,-79.1707
-6.0898,-79.2248
-6.0263,-79.2384
-5.9637,-79.2518
-5.9014,-79.2651
-5.7937,-79.288
-5.7138,-79.3051
-5.5917,-79.3311
-5.5258,-79.3451
-5.4605,-79.3591
-5.3976,-79.3724
-5.3334,-79.386
-5.2698,-79.3997
-5.2031,-79.4139
-5.1355,-79.4283
-5.0139,-79.4542
-4.9489,-79.468
-4.8434,-79.4904
-4.7796,-79.504
-4.715,-79.5177
-4.6509,-79.5314
-4.5866,-79.545
-4.5211,-79.5583
-4.4481,-79.5694
-4.3529,-79.5818
-4.2884,-79.59
-4.2137,-79.5995
-4.1498,-79.6076
-4.0835,-79.6161
-4.0192,-79.6244
-3.9565,-79.6324
-3.8894,-79.641
-3.8238,-79.6494
-3.7598,-79.6577
-3.6946,-79.666
-3.589,-79.6796
-3.5245,-79.6878
-3.4591,-79.6963
-3.3966,-79.7043
-3.3335,-79.7123
-3.2686,-79.7206
-3.2049,-79.7287
-3.1206,-79.7395
-3.0581,-79.7475
-2.9954,-79.7555
-2.9327,-79.7636
-2.8682,-79.7718
-2.8034,-79.7802
-2.741,-79.7882
-2.6772,-79.7964
-2.6107,-79.8049
-2.548,-79.8129
-2.4847,-79.821
-2.4199,-79.8293
-2.3574,-79.8373
-2.2903,-79.8459
-2.229,-79.8538
-2.1508,-79.8633
-2.079,-79.8662
-2.0385,-79.8662
-1.9739,-79.8655
-1.9079,-79.8647
-1.8308,-79.8639
-1.7654,-79.8632
-1.7,-79.8626
-1.6359,-79.862
-1.5706,-79.8614
-1.506,-79.8609
-1.4394,-79.8602
-1.3738,-79.8596
-1.3085,-79.859
-1.2437,-79.8583
-1.1793,-79.8578
-1.1143,-79.8572
-1.0501,-79.8565
-0.00009876,-79.8559
-0.00009226,-79.8553
-0.00008583,-79.8547
-0.00007941,-79.8541
-0.00007301,-79.8535
-0.00006662,-79.8529
-0.00005969,-79.8522
-0.00004734,-79.851
-0.00004075,-79.8504
-0.00003387,-79.8498
-0.00002814,-79.8494
-0.00002158,-79.8538
-0.00001324,-79.8669
-0.00000523,-79.8796
0.00000213,-79.8914
0.00000901,-79.9027
0.00001551,-79.9133
0.00002602,-79.929
0.00003247,-79.9372
0.00003897,-79.9454
0.00004546,-79.9542
0.00005296,-79.9643
0.00006353,-79.9718
0.00006999,-79.9741
0.00007514,-79.974
0.00008405,-79.9695
0.00009056,-79.9652
0.00009699,-79.9608
1.0352,-79.9562
1.0998,-79.9516
1.1639,-79.947
1.2276,-79.9427
1.3487,-79.9343
1.4413,-79.9276
1.507,-79.9231
1.573,-79.9185
1.6386,-79.9139
1.7035,-79.9093
1.7704,-79.9047
1.8369,-79.9
1.902,-79.8955
1.9676,-79.8909
2.0321,-79.8864
2.0976,-79.882
2.1616,-79.8775
2.228,-79.8727
2.2934,-79.868
2.4192,-79.8592
2.4844,-79.8547
2.5529,-79.8499
2.6843,-79.8407
2.7931,-79.8331
3.0301,-79.8165
3.1467,-79.8083
3.2271,-79.8026
3.3599,-79.7934
3.9199,-79.754
4.0167,-79.7473
4.2585,-79.7303
4.3245,-79.7257
4.4556,-79.7164
4.5884,-79.7071
4.6859,-79.7003
4.7556,-79.6953
4.821,-79.6907
4.8866,-79.6862
4.9568,-79.6812
5.0219,-79.6765
5.0903,-79.6717
5.1564,-79.6672
5.2203,-79.6638
5.337,-79.6616
5.388,-79.6607
5.4602,-79.6635
5.527,-79.6683
5.5983,-79.6753
5.6721,-79.6829
5.7392,-79.6898
5.8065,-79.6966
5.8746,-79.7034
5.9416,-79.7099
6.008,-79.7163
6.0742,-79.7227
6.1792,-79.7327
6.2618,-79.7406
6.3285,-79.7471
6.3973,-79.7537
6.4641,-79.7601
6.5323,-79.7666
6.5981,-79.773
6.6659,-79.7796
6.7331,-79.7861
6.8003,-79.7926
6.8678,-79.799
6.9341,-79.8054
7.0022,-79.812
7.0691,-79.8185
7.1368,-79.825
7.204,-79.8315
7.2708,-79.838
7.3384,-79.8447
7.4051,-79.8513
7.4729,-79.8579
7.5397,-79.8645
7.606,-79.8711
7.673,-79.8777
7.7483,-79.8851
7.8149,-79.8917
7.8817,-79.8983
7.9473,-79.9048
8.0153,-79.9115
8.0815,-79.9181
8.1479,-79.9246
8.2151,-79.9313
8.2808,-79.9378
8.3484,-79.9445
8.4149,-79.951
8.4808,-79.9576
8.5477,-79.9643
8.6187,-79.9729
8.7214,-79.9956
8.799,-80.0162
8.8646,-80.0336
8.9279,-80.0503
8.9944,-80.0675
9.0719,-80.0878
9.1569,-80.1181
9.2194,-80.1425
9.2823,-80.1663
9.3556,-80.1901
9.4268,-80.2062
9.5037,-80.2155
9.5704,-80.2212
9.6389,-80.2263
9.7059,-80.2312
9.7724,-80.2359
9.8384,-80.2406
9.9045,-80.2452
9.9725,-80.2501
10.0412,-80.2549
10.1097,-80.2598
10.1904,-80.2725
10.2632,-80.2881
10.3426,-80.3058
10.4132,-80.3223
10.4738,-80.3364
10.5412,-80.3524
10.588,-80.3636
10.6222,-80.3681
10.7138,-80.3676
10.7782,-80.3653
10.8217,-80.3648
10.8848,-80.367
10.9508,-80.3703
11.0663,-80.3771
11.1482,-80.3821
11.2129,-80.3861
11.2779,-80.39
11.3439,-80.394
11.4082,-80.3978
11.5375,-80.4055
11.6028,-80.4093
11.6685,-80.4133
11.7981,-80.4209
11.8637,-80.4249
11.9291,-80.4287
11.9946,-80.4327
12.0607,-80.4366
12.1258,-80.4404
12.1904,-80.4444
12.2566,-80.4483
12.322,-80.4522
12.4116,-80.4576
12.5169,-80.4639
12.5814,-80.4677
12.6855,-80.474
12.8904,-80.4823
12.9602,-80.4865
13.0329,-80.4895
13.0989,-80.4951
13.1672,-80.4997
13.1983,-80.5047
13.2654,-80.5088
13.3306,-80.5127
13.3961,-80.5166
13.46,-80.5205
13.5252,-80.5244
13.5913,-80.5284
13.6571,-80.5324
13.7226,-80.5363
13.7883,-80.5403
13.93,-80.547
13.9319,-80.549
14.1365,-80.5601
14.2091,-80.5646
14.2779,-80.569
14.3494,-80.5736
14.4112,-80.5772
14.4867,-80.5824
14.5482,-80.5854
14.6203,-80.59
14.6944,-80.5954
14.7668,-80.6004
14.8366,-80.6049
14.9059,-80.6093
14.9727,-80.6131
15.0446,-80.6232
15.1129,-80.6346
15.1794,-80.6459
15.2522,-80.6599
15.3189,-80.6711
15.3884,-80.6837
15.4558,-80.6949
15.5288,-80.7095
15.5961,-80.7209
15.6639,-80.7325
15.731,-80.7423
15.8064,-80.7576
15.8768,-80.7696
15.9402,-80.7765
16.0097,-80.788
16.022,-80.7845
16.1462,-80.8094
16.2178,-80.8154
16.3082,-80.8295
16.4017,-80.8441
16.4778,-80.8561
16.5862,-80.8732
16.6509,-80.8833
16.7169,-80.8936
16.7803,-80.9037
16.8465,-80.9141
16.9769,-80.9348
17.0413,-80.945
17.1063,-80.9552
17.1709,-80.9653
17.2362,-80.9757
17.3657,-80.9963
17.4314,-81.0068
17.4968,-81.0173
17.5606,-81.0274
17.6255,-81.0375
17.688,-81.0474
17.7521,-81.0576
17.8173,-81.068
17.8816,-81.0783
17.9842,-81.0946
18.0473,-81.1047
18.1098,-81.1148
18.1735,-81.125
18.2371,-81.1352
18.2989,-81.1451
18.3612,-81.1551
18.423,-81.165
18.4866,-81.1752
18.568,-81.1883
18.6312,-81.1985
18.6944,-81.2086
18.755,-81.2184
18.8174,-81.2285
18.8798,-81.2386
18.9428,-81.2488
19.0102,-81.2596
19.0728,-81.2697
19.1362,-81.28
19.1985,-81.2901
19.2986,-81.3064
19.3626,-81.3168
19.4242,-81.3267
19.4872,-81.337
19.5496,-81.3471
19.6112,-81.3572
19.6733,-81.3672
19.7359,-81.3775
19.7981,-81.3876
19.8611,-81.3979
19.9225,-81.4079
19.9786,-81.4164
20.0356,-81.4186
20.099,-81.4166
20.1847,-81.4125
20.2471,-81.4094
20.3099,-81.4064
20.3719,-81.4036
20.4348,-81.4008
20.498,-81.3979
20.5611,-81.3951
20.6228,-81.3922
20.6854,-81.3893
20.7486,-81.3863
20.8111,-81.3835
20.8736,-81.3807
20.9346,-81.3778
20.9962,-81.3749
21.0592,-81.3721
21.1212,-81.3692
21.182,-81.3664
21.2449,-81.3635
21.3498,-81.3585
21.423,-81.3552
21.4896,-81.3521
21.5507,-81.3493
21.6142,-81.3463
21.6839,-81.3431
21.7869,-81.3383
21.8592,-81.3348
21.9196,-81.332
22.0401,-81.3264
22.264,-81.3156
22.2875,-81.3148
22.3765,-81.3106
22.453,-81.307
22.5578,-81.302
22.6233,-81.2989
22.6848,-81.296
22.745,-81.2932
22.8081,-81.2902
22.9033,-81.2856
22.9656,-81.2828
23.0307,-81.2796
23.0898,-81.2768
23.1564,-81.2736
23.2171,-81.2707
23.2756,-81.268
23.3377,-81.265
23.4023,-81.2619
23.4619,-81.2591
23.5227,-81.2562
23.5866,-81.2531
23.6481,-81.2501
23.7063,-81.2473
23.7703,-81.2442
23.832,-81.2412
23.8901,-81.2385
23.955,-81.2353
24.014,-81.2305
24.0742,-81.2226
24.1447,-81.2125
24.2072,-81.2035
24.2673,-81.1948
24.3297,-81.1857
24.3875,-81.1774
24.4476,-81.1687
24.5069,-81.1602
24.5658,-81.1517
24.6245,-81.1437
24.6846,-81.1379
24.7473,-81.1317
24.8048,-81.1258
24.8668,-81.1192
24.9241,-81.113
24.9822,-81.1067
25.0532,-81.0992
25.112,-81.0929
25.1724,-81.0865
25.2291,-81.0805
25.2894,-81.0741
25.3466,-81.068
25.4085,-81.0614
25.4653,-81.0553
25.525,-81.0489
25.5816,-81.0429
25.643,-81.0363
25.7012,-81.03
25.7582,-81.0239
25.8219,-81.0171
25.8802,-81.0108
25.9397,-81.0044
25.9981,-80.9981
26.0582,-80.9916
26.1168,-80.9853
26.1762,-80.9789
26.2365,-80.9724
26.2959,-80.9659
26.3539,-80.9601
26.4018,-80.9605
26.4512,-80.968
26.515,-80.9846
26.5735,-81.0002
26.6293,-81.0151
26.687,-81.0303
26.7451,-81.0454
26.8008,-81.0598
26.8565,-81.0743
26.9168,-81.09
26.9729,-81.1047
27.031,-81.1198
27.0896,-81.1351
27.1447,-81.1494
27.1999,-81.1639
27.2616,-81.1801
27.3164,-81.1941
27.3767,-81.2092
27.4341,-81.2237
27.4882,-81.2375
27.548,-81.2528
27.6015,-81.2664
27.6646,-81.2826
27.7192,-81.2965
27.7771,-81.3114
27.8351,-81.3262
27.8924,-81.3409
27.95,-81.3558
28.0066,-81.3702
28.0644,-81.3851
28.1212,-81.3997
28.1785,-81.4146
28.236,-81.4293
28.2946,-81.4446
28.3527,-81.4596
28.4106,-81.4745
28.4702,-81.49
28.5268,-81.5047
28.5825,-81.5191
28.6443,-81.5353
28.6984,-81.5493
28.7584,-81.565
28.8158,-81.58
28.873,-81.5949
28.9114,-81.6043
28.9998,-81.6159
29.0584,-81.6213
29.1197,-81.6267
29.1814,-81.6323
29.2471,-81.6382
29.3037,-81.6435
29.3644,-81.649
29.4249,-81.6547
29.484,-81.6601
29.544,-81.6657
29.6016,-81.6709
29.6608,-81.6764
29.723,-81.6821
29.783,-81.6877
29.8427,-81.6932
29.9005,-81.6986
29.9594,-81.7042
30.0213,-81.7099
30.0778,-81.7151
30.1389,-81.7208
30.2012,-81.7267
30.2601,-81.7321
30.3218,-81.738
30.3782,-81.7432
30.4376,-81.7488
30.4992,-81.7546
30.5572,-81.76
30.5897,-81.7633
30.6225,-81.7712
30.6503,-81.7828
30.7205,-81.8223
30.7694,-81.8506
30.8252,-81.883
30.8753,-81.9121
30.9274,-81.9424
30.979,-81.9724
31.0312,-82.0029
31.0814,-82.0321
31.1327,-82.062
31.1831,-82.0915
31.2335,-82.1209
31.2831,-82.1499
31.3391,-82.1828
31.3884,-82.2117
31.439,-82.2415
31.4924,-82.2729
31.5422,-82.3023
31.5961,-82.334
31.649,-82.3653
31.6994,-82.3951
31.7503,-82.4253
31.8037,-82.4569
31.8528,-82.4861
31.9032,-82.5161
31.9411,-82.5389
31.9666,-82.558
31.9938,-82.5827
32.0384,-82.6275
32.0797,-82.6699
32.0999,-82.6907
32.1427,-82.7347
32.1846,-82.7777
32.2275,-82.8217
32.246,-82.8408
32.2906,-82.8864
32.3321,-82.9289
32.3708,-82.9686
32.4048,-83.0038
32.4477,-83.0482
32.4913,-83.0926
32.5223,-83.1246
32.5701,-83.1739
32.612,-83.2172
32.6537,-83.2609
32.7157,-83.3254
32.7559,-83.3672
32.7958,-83.4086
32.8343,-83.4488
32.8754,-83.4918
32.9138,-83.532
32.9638,-83.5843
32.9994,-83.6218
33.0288,-83.6525
33.0753,-83.7011
33.1093,-83.7368
33.1412,-83.7706
33.172,-83.8032
33.1957,-83.829
33.2263,-83.8653
33.2523,-83.896
33.277,-83.9257
33.3035,-83.9574
33.3294,-83.9883
33.3513,-84.0142
33.37,-84.0263
33.3945,-84.0292
33.4243,-84.0304
33.4624,-84.0309
33.4854,-84.0353
33.5132,-84.0599
33.5408,-84.085
33.5672,-84.1084
33.5801,-84.1247
33.5903,-84.1472
33.5972,-84.1625
33.6093,-84.1891
33.6176,-84.2077
33.6203,-84.2252
33.6203,-84.2405
33.6201,-84.2705
33.6203,-84.3
33.6202,-84.3273
33.6203,-84.3441
33.6203,-84.3564
33.6203,-84.3697
33.6203,-84.3822
33.6203,-84.3952
33.6203,-84.4082
33.6203,-84.4216
33.6203,-84.4327
