lat,lon
-12.0318,-77.1093
-12.0407,-77.1046
-12.051,-77.0995
-12.0653,-77.0923
-12.0791,-77.0852
-12.0978,-77.0757
-12.1188,-77.0663
-12.1304,-77.0644
-12.1383,-77.0634
-12.1771,-77.0625
-12.2024,-77.0631
-12.242,-77.0628
-12.267,-77.0619
-12.2919,-77.0507
-12.3273,-77.0242
-12.3676,-76.9948
-12.4059,-76.9669
-12.4456,-76.9379
-12.4871,-76.9075
-12.5271,-76.8782
-12.5766,-76.842
-12.6194,-76.8107
-12.6625,-76.7791
-12.7074,-76.7462
-12.7526,-76.7129
-12.7989,-76.6787
-12.8456,-76.6445
-12.8935,-76.6094
-12.9409,-76.5747
-12.989,-76.5391
-13.0383,-76.5026
-13.0955,-76.4607
-13.1539,-76.418
-13.2035,-76.3815
-13.254,-76.3447
-13.3051,-76.3068
-13.3565,-76.2688
-13.406,-76.232
-13.459,-76.1927
-13.511,-76.1543
-13.5625,-76.1163
-13.6146,-76.0779
-13.6698,-76.037
-13.7224,-75.998
-13.7859,-75.9507
-13.8388,-75.9111
-13.8922,-75.8716
-13.9446,-75.833
-13.9963,-75.7948
-14.0538,-75.7521
-14.1193,-75.7034
-14.1716,-75.6646
-14.2246,-75.6251
-14.2996,-75.569
-14.3547,-75.5281
-14.4117,-75.4862
-14.4662,-75.4454
-14.5216,-75.4035
-14.577,-75.3619
-14.6626,-75.2979
-14.7408,-75.2393
-14.8453,-75.1607
-14.9255,-75.1007
-15.0129,-75.0353
-15.0688,-74.9932
-15.124,-74.9516
-15.1789,-74.9101
-15.2901,-74.8263
-15.3969,-74.746
-15.4751,-74.687
-15.5648,-74.6189
-15.6198,-74.5769
-15.7002,-74.5161
-15.7562,-74.474
-15.8121,-74.4317
-15.8688,-74.389
-15.9241,-74.3466
-15.9788,-74.3042
-16.0345,-74.262
-16.0904,-74.2198
-16.1461,-74.1776
-16.2504,-74.0981
-16.3411,-74.0288
-16.3965,-73.9862
-16.4517,-73.9444
-16.5487,-73.8701
-16.6585,-73.7853
-16.713,-73.7434
-16.7681,-73.7013
-16.8957,-73.6029
-16.9516,-73.56
-17.0337,-73.4971
-17.0943,-73.4505
-17.1479,-73.4095
-17.2011,-73.3679
-17.2829,-73.3045
-17.3566,-73.2472
-17.4117,-73.2039
-17.4681,-73.1604
-17.5538,-73.0943
-17.6273,-73.0374
-17.6817,-72.9954
-17.7537,-72.9391
-17.8073,-72.8971
-17.8607,-72.8552
-17.9152,-72.8127
-17.9869,-72.7562
-18.0473,-72.7091
-18.1345,-72.6413
-18.1882,-72.5994
-18.2423,-72.557
-18.2961,-72.5143
-18.3503,-72.472
-18.4484,-72.3914
-18.5012,-72.346
-18.5558,-72.2997
-18.6089,-72.2548
-18.6671,-72.2053
-18.7442,-72.1409
-18.8166,-72.0803
-18.8693,-72.0358
-18.9563,-71.9627
-19.0063,-71.9209
-19.0622,-71.8736
-19.1301,-71.8153
-19.2107,-71.747
-19.268,-71.6985
-19.3375,-71.6396
-19.3909,-71.5942
-19.4574,-71.5376
-19.5132,-71.4893
-19.5637,-71.4471
-19.6478,-71.3755
-19.6993,-71.3312
-19.7489,-71.2884
-19.8012,-71.2434
-19.8529,-71.1994
-19.9086,-71.1521
-19.9725,-71.0971
-20.0251,-71.0518
-20.1146,-70.9748
-20.1988,-70.9024
-20.2769,-70.8349
-20.3377,-70.7819
-20.3894,-70.7369
-20.4399,-70.6937
-20.5408,-70.6065
-20.6397,-70.5205
-20.6902,-70.4767
-20.7657,-70.411
-20.8446,-70.3422
-20.9145,-70.2812
-20.9871,-70.218
-21.0377,-70.1739
-21.0889,-70.129
-21.1394,-70.0847
-21.1905,-70.0401
-21.2842,-69.9579
-21.3342,-69.9137
-21.3929,-69.862
-21.4431,-69.8176
-21.4929,-69.7731
-21.5433,-69.729
-21.5934,-69.6852
-21.6426,-69.6418
-21.692,-69.5984
-21.7424,-69.5541
-21.7915,-69.5102
-21.8397,-69.4671
-21.8898,-69.4224
-21.9387,-69.3787
-21.9869,-69.3353
-22.0519,-69.2785
-22.1005,-69.2354
-22.1489,-69.192
-22.1979,-69.1481
-22.2465,-69.1046
-22.2958,-69.06
-22.3445,-69.0161
-22.3944,-68.9714
-22.4562,-68.9133
-22.4993,-68.8616
-22.5385,-68.8027
-22.5832,-68.7171
-22.6162,-68.6534
-22.6488,-68.591
-22.681,-68.5288
-22.7126,-68.4668
-22.7512,-68.3915
-22.7844,-68.3275
-22.8223,-68.2539
-22.8526,-68.195
-22.8821,-68.1369
-22.926,-68.0519
-22.959,-67.9873
-22.9892,-67.9277
-23.0197,-67.868
-23.049,-67.8107
-23.0797,-67.7504
-23.1106,-67.6897
-23.1413,-67.6287
-23.1715,-67.5695
-23.2158,-67.4821
-23.2441,-67.4253
-23.2741,-67.3659
-23.3068,-67.3015
-23.3435,-67.2294
-23.3746,-67.1685
-23.4108,-67.0948
-23.4401,-67.0357
-23.4704,-66.975
-23.5085,-66.8996
-23.5384,-66.8399
-23.5789,-66.759
-23.6074,-66.7015
-23.9269,-66.0526
-23.9616,-65.9826
-23.9903,-65.9251
-24.02,-65.8643
-24.0517,-65.799
-24.0811,-65.7386
-24.1108,-65.6761
-24.1396,-65.6171
-24.1699,-65.5566
-24.1997,-65.4951
-24.2337,-65.424
-24.263,-65.3627
-24.2896,-65.3078
-24.3142,-65.2571
-24.3456,-65.1915
-24.3659,-65.1525
-24.3957,-65.122
-24.4298,-65.1061
-24.4662,-65.1052
-24.5043,-65.1222
-24.5442,-65.1496
-24.5855,-65.171
-24.6254,-65.1867
-24.6664,-65.2023
-24.7051,-65.2176
-24.7447,-65.2337
-24.7839,-65.2495
-24.823,-65.2653
-24.861,-65.2807
-24.8834,-65.2897
-24.912,-65.3014
-24.9459,-65.3151
-24.9646,-65.3226
-24.9966,-65.3358
-25.0133,-65.3426
-25.0329,-65.3507
-25.0503,-65.3599
-25.0586,-65.3783
-25.0548,-65.4036
-25.0523,-65.4194
-25.048,-65.4504
-25.043,-65.4791
-25.0401,-65.4944
-25.0374,-65.5093
-25.033,-65.5199
-25.0202,-65.5231
-25.0089,-65.5203
-24.9873,-65.5151
-24.9751,-65.5125
-24.9639,-65.5101
-24.9431,-65.5055
